iter	Logloss
0	0.6827663136
1	0.6717513664
2	0.6628081399
3	0.6529119223
4	0.6439577606
5	0.6369493275
6	0.6283496013
7	0.6232679953
8	0.6152956627
9	0.6088133489
10	0.6024688554
11	0.5966211311
12	0.5917619
13	0.5859848502
14	0.5825827974
15	0.5788488425
16	0.5752064792
17	0.57052441
18	0.5657063181
19	0.5622017807
20	0.558099798
21	0.5545671679
22	0.5508091599
23	0.5473502388
24	0.5447167031
25	0.5414845247
26	0.5389766131
27	0.5368113539
28	0.5337184378
29	0.5317478622
30	0.5293873586
31	0.5274732276
32	0.5246188758
33	0.5233605868
34	0.5216818084
35	0.5198496551
36	0.5172533435
37	0.5156397101
38	0.5142482248
39	0.5127589263
40	0.5110505423
41	0.5087263322
42	0.5060692871
43	0.5040589878
44	0.5038847521
45	0.502633942
46	0.5011247509
47	0.4999495094
48	0.498649736
49	0.4977422233
50	0.4956987982
51	0.4948082966
52	0.4935025833
53	0.4923670991
54	0.4913276235
55	0.4896535442
56	0.488514304
57	0.4874443837
58	0.48620718
59	0.4853899451
60	0.4834834322
61	0.4821787216
62	0.4809496908
63	0.479750628
64	0.4792141075
65	0.4785829037
66	0.4774849071
67	0.4759739578
68	0.4752828353
69	0.4742346463
70	0.4733739259
71	0.4721072424
72	0.4709435075
73	0.4694029464
74	0.4683507405
75	0.4675161768
76	0.4659115917
77	0.4652017962
78	0.4639728431
79	0.4633279315
80	0.4626594473
81	0.4619212962
82	0.4608608449
83	0.4594818011
84	0.4584175146
85	0.4576595176
86	0.4565450758
87	0.4553306309
88	0.4542922899
89	0.4534954074
90	0.4528064995
91	0.4521703643
92	0.4516616255
93	0.4511095191
94	0.4498757039
95	0.4493401603
96	0.4483300172
97	0.4473900082
98	0.4465919891
99	0.4461626684
100	0.4455609478
101	0.4447214851
102	0.4436955308
103	0.4426799343
104	0.4417636891
105	0.4411118059
106	0.4407316361
107	0.4404651496
108	0.4390751488
109	0.4380253476
110	0.4365502135
111	0.4355402035
112	0.4352052639
113	0.4339062379
114	0.4331528902
115	0.4317977355
116	0.4312141343
117	0.4301642152
118	0.4289667039
119	0.4280485372
120	0.4275378289
121	0.4262744921
122	0.4257772268
123	0.4252251284
124	0.4249166515
125	0.4244130232
126	0.4235752706
127	0.422850966
128	0.4221440433
129	0.4216711688
130	0.4208058047
131	0.4197680024
132	0.419180434
133	0.4178902664
134	0.4174359702
135	0.4165091067
136	0.4156282746
137	0.4152704755
138	0.4144594756
139	0.4135416529
140	0.412446636
141	0.4119607383
142	0.4107284663
143	0.4101760218
144	0.4094116316
145	0.4084857512
146	0.4075861695
147	0.4065786207
148	0.4054373735
149	0.4049077479
150	0.4040320495
151	0.4031065659
152	0.4018306039
153	0.4013140248
154	0.4009666645
155	0.4003131457
156	0.3997418314
157	0.3988701919
158	0.3981949375
159	0.3979234453
160	0.3971889098
161	0.3962325023
162	0.395601376
163	0.394868078
164	0.3946039834
165	0.3940908494
166	0.3938986146
167	0.3934948509
168	0.39301003
169	0.3918800852
170	0.3908823547
171	0.3906400381
172	0.3899004947
173	0.3888202927
174	0.38829145
175	0.387652515
176	0.3874767663
177	0.3868796108
178	0.3860370066
179	0.3854824851
180	0.3846677434
181	0.3840788335
182	0.3830512249
183	0.3821406107
184	0.3817200011
185	0.381286116
186	0.3809590905
187	0.3806440516
188	0.3799077573
189	0.3792853707
190	0.3786154494
191	0.3777392695
192	0.3770998665
193	0.376509887
194	0.3759214839
195	0.3749086519
196	0.3746908458
197	0.3737797818
198	0.3729637763
199	0.3726680496
200	0.3718552015
201	0.370591542
202	0.3699425922
203	0.369309728
204	0.368873784
205	0.3683628587
206	0.3675194109
207	0.3671837449
208	0.3664451065
209	0.3656835767
210	0.3650967251
211	0.3643712816
212	0.3640323009
213	0.3631279507
214	0.3621809505
215	0.3615219185
216	0.3611732549
217	0.3607760869
218	0.3598983951
219	0.3593049634
220	0.3588524785
221	0.3584592298
222	0.358235231
223	0.3574615462
224	0.3570197819
225	0.3566316105
226	0.356459386
227	0.3560367276
228	0.3556623094
229	0.3549452801
230	0.3547352941
231	0.3545072235
232	0.3543028306
233	0.3540357538
234	0.3536264674
235	0.3529996291
236	0.3525029058
237	0.3516471844
238	0.3508944609
239	0.3502004145
240	0.3497391159
241	0.3493295786
242	0.3484656402
243	0.3479319355
244	0.3472051716
245	0.3469003549
246	0.3462738143
247	0.3458159416
248	0.3456313136
249	0.3448752208
250	0.3443456673
251	0.3442480063
252	0.343901381
253	0.3432554806
254	0.3426325664
255	0.3420563991
256	0.3411937246
257	0.3407683465
258	0.3404170251
259	0.3401527121
260	0.3397127269
261	0.3392318738
262	0.3389431504
263	0.3384153871
264	0.3378992385
265	0.337533309
266	0.3369861864
267	0.3363743489
268	0.336145013
269	0.3356416152
270	0.3348145447
271	0.3342003552
272	0.333411769
273	0.3328363361
274	0.332304178
275	0.3315381175
