iter	Passed	Remaining
0	36	25637
1	74	25830
2	109	25345
3	145	25233
4	183	25455
5	220	25465
6	256	25361
7	292	25282
8	331	25446
9	369	25489
10	404	25335
11	440	25235
12	474	25075
13	508	24929
14	544	24849
15	578	24709
16	613	24640
17	648	24579
18	689	24730
19	726	24699
20	762	24639
21	799	24627
22	834	24553
23	869	24481
24	902	24354
25	936	24268
26	971	24219
27	1006	24163
28	1044	24177
29	1079	24100
30	1110	23958
31	1146	23940
32	1185	23961
33	1217	23842
34	1250	23760
35	1284	23695
36	1319	23636
37	1351	23552
38	1385	23489
39	1420	23439
40	1452	23338
41	1488	23320
42	1524	23292
43	1562	23293
44	1579	22985
45	1609	22879
46	1644	22847
47	1677	22781
48	1710	22731
49	1741	22645
50	1775	22599
51	1811	22571
52	1842	22498
53	1874	22423
54	1906	22355
55	1941	22327
56	1976	22299
57	2012	22276
58	2046	22232
59	2078	22165
60	2114	22154
61	2146	22088
62	2180	22049
63	2215	22014
64	2244	21927
65	2277	21879
66	2309	21824
67	2343	21780
68	2379	21759
69	2414	21730
70	2447	21685
71	2480	21639
72	2514	21599
73	2552	21594
74	2587	21558
75	2620	21513
76	2657	21500
77	2688	21439
78	2723	21410
79	2758	21378
80	2793	21347
81	2825	21294
82	2860	21262
83	2895	21234
84	2930	21204
85	2960	21138
86	2995	21108
87	3029	21065
88	3064	21038
89	3096	20990
90	3128	20937
91	3163	20903
92	3194	20851
93	3223	20782
94	3261	20767
95	3291	20709
96	3324	20669
97	3355	20614
98	3389	20577
99	3422	20532
100	3451	20470
101	3483	20422
102	3515	20377
103	3548	20338
104	3582	20301
105	3614	20255
106	3644	20197
107	3673	20136
108	3706	20099
109	3742	20073
110	3780	20060
111	3812	20015
112	3841	19955
113	3876	19924
114	3911	19899
115	3947	19875
116	3980	19833
117	4014	19801
118	4051	19782
119	4084	19743
120	4118	19707
121	4154	19684
122	4188	19647
123	4218	19597
124	4247	19540
125	4280	19497
126	4315	19472
127	4350	19442
128	4386	19416
129	4415	19361
130	4451	19335
131	4487	19311
132	4519	19268
133	4553	19234
134	4586	19194
135	4619	19158
136	4655	19130
137	4684	19078
138	4715	19032
139	4748	18994
140	4785	18970
141	4815	18920
142	4855	18911
143	4885	18863
144	4920	18834
145	4956	18809
146	4994	18787
147	5026	18748
148	5063	18724
149	5097	18690
150	5136	18673
151	5170	18642
152	5207	18616
153	5237	18570
154	5267	18519
155	5299	18478
156	5337	18461
157	5373	18432
158	5408	18404
159	5439	18356
160	5472	18319
161	5504	18280
