date,flat_invested,flat_returned,kelly_invested,kelly_returned,flat_bankroll,kelly_bankroll
20250925,6000,2660,14800,0,96660.0,85200.0
20251003,7200,4030,11400,5720,93490.0,79520.0
20251105,5300,15420,20900,89340,103610.0,147960.0
20251106,5400,12170,37300,101960,110380.0,212620.0
20251107,6000,8080,69700,98950,112460.0,241870.0
20251108,5300,5930,68200,71160,113090.0,244830.0
20251110,4100,4700,37000,28300,113690.0,236130.0
20251115,3800,5540,34300,52570,115430.0,254400.0
20251116,5200,4920,29000,0,115150.0,225400.0
20251117,2600,3290,15400,0,115840.0,210000.0
20251118,4500,10420,61200,163020,121760.0,311820.0
20251119,2700,5080,40300,124490,124140.0,396010.0
20251120,6500,5890,59300,42300,123530.0,379010.0
20251121,5800,4100,68300,67710,121830.0,378420.0
20251124,3900,4430,33800,106320,122360.0,450940.0
20251125,4600,10250,75700,290280,128010.0,665520.0
20251126,5200,1020,106100,0,123830.0,559420.0
20251127,5000,4570,88100,74290,123400.0,545610.0
20251128,4100,0,56000,0,119300.0,489610.0
20251130,3900,0,119200,0,115400.0,370410.0
20251201,2700,4040,40800,0,116740.0,329610.0
20251202,4200,880,46100,0,113420.0,283510.0
20251203,3600,3960,38900,43560,113780.0,288170.0
20251204,6400,4650,74200,83700,112030.0,297670.0
20251205,4800,0,58100,0,107230.0,239570.0
20251206,5900,4780,40500,8960,106110.0,208030.0
20251207,5000,5060,32100,13860,106170.0,189790.0
20251208,3600,0,34100,0,102570.0,155690.0
20251209,5100,4120,27300,27360,101590.0,155750.0
20251210,5000,5240,30300,40800,101830.0,166250.0
20251211,3100,2960,30000,0,101690.0,136250.0
20251213,3100,2470,15600,2470,101060.0,123120.0
20251214,2800,0,14400,0,98260.0,108720.0
20251215,5900,9910,32300,76520,102270.0,152940.0
20251216,3300,0,14600,0,98970.0,138340.0
20251217,5100,4230,21200,2000,98100.0,119140.0
20251218,3600,10610,17000,77280,105110.0,179420.0
20251219,6700,9160,60600,123610,107570.0,242430.0
20251220,5300,9550,39200,76220,111820.0,279450.0
20251221,6700,18130,62300,42240,123250.0,259390.0
20251222,6900,4020,57100,37400,120370.0,239690.0
20251223,6200,5110,37400,1660,119280.0,203950.0
20251224,5400,11650,39700,60760,125530.0,225010.0
20251225,4000,1970,39500,7880,123500.0,193390.0
20251226,4900,10000,60700,97490,128600.0,230180.0
20251227,4800,3190,31200,22330,126990.0,221310.0
20251228,4400,11690,25900,27680,134280.0,223090.0
20251229,5100,0,16500,0,129180.0,206590.0
20251230,4900,2290,33900,20610,126570.0,193300.0
20251231,6000,5040,42900,29400,125610.0,179800.0
20260329,2500,0,13700,0,123110.0,166100.0
20260330,5100,6040,23600,36240,124050.0,178740.0
20260331,500,0,7500,0,123550.0,171240.0
20260401,900,0,8400,0,122650.0,162840.0
20260402,4900,1700,35400,49300,119450.0,176740.0
20260404,2900,2400,8800,2400,118950.0,170340.0
20260405,1400,0,8900,0,117550.0,161440.0
20260406,600,0,5500,0,116950.0,155940.0
20260408,3300,3080,10100,0,116730.0,145840.0
20260411,4200,1100,33300,31900,113630.0,144440.0
20260414,600,1860,7000,9300,114890.0,146740.0
20260415,0,0,0,0,114890.0,146740.0
20260418,3400,3460,39700,67590,114950.0,174630.0
20260425,300,0,200,0,114650.0,174430.0
20260427,1300,1630,3100,0,114980.0,171330.0
20260502,1500,0,15200,0,113480.0,156130.0
20260701,67500,63340,261200,210830,109320.0,105760.0
20260702,69900,66880,409000,546430,106300.0,243190.0
20260703,75300,45740,504400,342230,76740.0,81020.0
20260704,72400,79980,227100,278140,84320.0,132060.0
20260705,75300,82760,547300,960670,91780.0,545430.0
20260706,60900,54740,1192500,939010,85620.0,291940.0
20260707,65500,44460,377600,178580,64580.0,92920.0
20260708,60800,79480,208000,214400,83260.0,99320.0
20260709,68600,90000,302900,366260,104660.0,162680.0
20260710,72700,101660,795200,1318080,133620.0,685560.0
20260711,79500,69240,1397100,998790,123360.0,287250.0
20260712,88000,110470,716800,678580,145830.0,249030.0
20260713,75300,95340,1270800,1878660,165870.0,856890.0
20260714,70300,96320,6599600,9804810,191890.0,4062100.0
