venue,venue_hit_count,venue_avg_payout,venue_med_payout,venue_std_payout,venue_first_lane_1_rate,venue_first_lane_2_rate,venue_first_lane_3_rate,venue_first_lane_4_rate,venue_first_lane_5_rate,venue_first_lane_6_rate,venue_second_lane_1_rate,venue_second_lane_2_rate,venue_second_lane_3_rate,venue_second_lane_4_rate,venue_second_lane_5_rate,venue_second_lane_6_rate,venue_third_lane_1_rate,venue_third_lane_2_rate,venue_third_lane_3_rate,venue_third_lane_4_rate,venue_third_lane_5_rate,venue_third_lane_6_rate,venue_chaos_index
びわこ,6582,7228.5551504102095,2540.0,17636.769546845742,0.5396536007292616,0.14235794591309633,0.12914007900334246,0.1048313582497721,0.061075660893345485,0.022941355211182013,0.18596171376481313,0.24308720753570343,0.2136128836219994,0.16545123062898814,0.12412640534791856,0.06776055910057734,0.09054998480704952,0.18398663020358555,0.19993922819811608,0.199179580674567,0.17608629595867517,0.15025828015800669,95.77078751953893
三国,6744,7584.696026097272,2700.0,17090.471174883198,0.5320284697508897,0.15361803084223014,0.13834519572953738,0.09326809015421116,0.051008303677342826,0.03173190984578885,0.18861209964412812,0.261417556346382,0.20951957295373666,0.1650355871886121,0.10008896797153025,0.0753262158956109,0.08451957295373666,0.1847568208778173,0.19750889679715303,0.19795373665480426,0.1776393831553974,0.15762158956109135,96.00796678370061
下関,6856,6763.9016919486585,2340.0,14180.706360081635,0.5969953325554259,0.11624854142357059,0.11347724620770128,0.09159859976662778,0.047112018669778294,0.03456826137689615,0.1709451575262544,0.2486872812135356,0.2308926487747958,0.14979579929988332,0.1161026837806301,0.08357642940490081,0.08299299883313886,0.1926779463243874,0.2117852975495916,0.19501166861143523,0.16365227537922988,0.15387981330221703,93.13137760994891
丸亀,6801,7242.920158800176,2530.0,16230.233886202323,0.5671224819879429,0.13895015438906044,0.1164534627260697,0.09131010145566829,0.05543302455521247,0.03073077488604617,0.1833553889133951,0.2476106454933098,0.21349801499779444,0.16350536685781503,0.11189530951330687,0.08013527422437877,0.08234083223055433,0.18894280252903986,0.20011762976032937,0.20570504337597412,0.1629172180561682,0.15997647404793414,95.05354943012846
住之江,6997,7610.567386022582,2410.0,18846.308830240396,0.5808203515792483,0.13734457624696297,0.11504930684579105,0.089895669572674,0.05102186651422038,0.02586822924110333,0.16464198942403888,0.24381877947691868,0.22609689867085894,0.1749321137630413,0.1123338573674432,0.07817636129769902,0.08575103615835358,0.1905102186651422,0.2050878948120623,0.19365442332428184,0.16692868372159497,0.1580677433185651,96.91855101228795
児島,6686,7562.15524977565,2570.0,16009.419593732153,0.5622195632665271,0.1304217768471433,0.12144780137600958,0.0964702363146874,0.05429255160035896,0.03514807059527371,0.17903081064911755,0.24409213281483697,0.20565360454681425,0.17633861800777745,0.10843553694286569,0.0864492970385881,0.0854023332336225,0.18052647322763984,0.19847442416990727,0.20789709841459766,0.16407418486389472,0.16362548609033803,95.39243368965292
多摩川,6839,7153.955256616465,2660.0,15177.01260550688,0.5325339961982746,0.14929083199298143,0.12267875420383097,0.10703319198713263,0.06068138616756836,0.02778183945021202,0.17093142272262027,0.24828191256031584,0.20514695130867086,0.160988448603597,0.12721158064044452,0.08743968416435151,0.0935809328849247,0.17911975435005117,0.19754350051177072,0.1896476092996052,0.18248281912560316,0.15762538382804503,94.32593381246835
大村,7063,6614.24182358771,2130.0,16375.445516864866,0.6240974090329888,0.11977913068101373,0.1087356647317004,0.0811269998584171,0.044881778281183636,0.021379017414696305,0.16551040634291378,0.26192835905422623,0.238567181084525,0.15475010618717258,0.11043465949313323,0.06880928783802917,0.07829534192269574,0.19014583038368965,0.19963188446835622,0.20798527537873424,0.17131530511114257,0.15262636273538158,94.16097227158204
宮島,7114,7364.807421984819,2490.0,15007.71349162204,0.5570705650829351,0.13297722800112455,0.12215350014056789,0.09685127916783806,0.060303626651672756,0.03064380095586168,0.16825976946865337,0.2472589260612876,0.2303907787461344,0.15701433792521788,0.12313747540061849,0.07393871239808827,0.08377846499859432,0.19314028675850436,0.20255833567613157,0.19145347202698904,0.17641270733764408,0.15265673320213663,94.53471461441433
尼崎,6587,7075.931379990891,2220.0,19675.479720740434,0.5855472901168969,0.11811143160771216,0.11932594504326705,0.09761651738272355,0.05192044936997116,0.027478366479429178,0.1594048884165781,0.2442690147259754,0.21815697586154548,0.1712463944132382,0.1263093972977076,0.08061332928495521,0.0856231972066191,0.18248064369212083,0.20449369971155307,0.20828905419766205,0.16729922574768483,0.1518141794443601,96.51044231174168
